s_id,ads_formula,sub_formula,ads_AllenElectronegativity_mean,ads_AtomicRadius_mean,ads_AtomicVolume_mean,ads_AtomicWeight_mean,ads_CovalentRadius_mean,ads_DipolePolarizability_mean,ads_ElectronAffinity_mean,ads_Electronegativity_mean,ads_FirstIonizationEnergy_mean,ads_GSvolume_pa_mean,ads_MendeleevNumber_mean,ads_MiracleRadius_mean,ads_MolarVolume_mean,ads_NUnfilled_mean,ads_NValence_mean,ads_NdUnfilled_mean,ads_NdValence_mean,ads_NfUnfilled_mean,ads_NfValence_mean,ads_NpUnfilled_mean,ads_NpValence_mean,ads_NsUnfilled_mean,ads_NsValence_mean,ads_Polarizability_mean,ads_VdWRadius_mean,ads_ZungerPP-r_d_mean,ads_ZungerPP-r_p_mean,interface_ads_AllenElectronegativity_mean,interface_ads_AtomicRadius_mean,interface_ads_AtomicVolume_mean,interface_ads_AtomicWeight_mean,interface_ads_CovalentRadius_mean,interface_ads_DipolePolarizability_mean,interface_ads_ElectronAffinity_mean,interface_ads_Electronegativity_mean,interface_ads_FirstIonizationEnergy_mean,interface_ads_GSvolume_pa_mean,interface_ads_MendeleevNumber_mean,interface_ads_MiracleRadius_mean,interface_ads_MolarVolume_mean,interface_ads_NUnfilled_mean,interface_ads_NValence_mean,interface_ads_NdUnfilled_mean,interface_ads_NdValence_mean,interface_ads_NfUnfilled_mean,interface_ads_NfValence_mean,interface_ads_NpUnfilled_mean,interface_ads_NpValence_mean,interface_ads_NsUnfilled_mean,interface_ads_NsValence_mean,interface_ads_Polarizability_mean,interface_ads_VdWRadius_mean,interface_ads_ZungerPP-r_d_mean,interface_ads_ZungerPP-r_p_mean,sub_AllenElectronegativity_mean,sub_AtomicRadius_mean,sub_AtomicVolume_mean,sub_AtomicWeight_mean,sub_CovalentRadius_mean,sub_DipolePolarizability_mean,sub_ElectronAffinity_mean,sub_Electronegativity_mean,sub_FirstIonizationEnergy_mean,sub_GSvolume_pa_mean,sub_MendeleevNumber_mean,sub_MiracleRadius_mean,sub_MolarVolume_mean,sub_NUnfilled_mean,sub_NValence_mean,sub_NdUnfilled_mean,sub_NdValence_mean,sub_NfUnfilled_mean,sub_NfValence_mean,sub_NpUnfilled_mean,sub_NpValence_mean,sub_NsUnfilled_mean,sub_NsValence_mean,sub_Polarizability_mean,sub_VdWRadius_mean,sub_ZungerPP-r_d_mean,sub_ZungerPP-r_p_mean,interface_sub_AllenElectronegativity_mean,interface_sub_AtomicRadius_mean,interface_sub_AtomicVolume_mean,interface_sub_AtomicWeight_mean,interface_sub_CovalentRadius_mean,interface_sub_DipolePolarizability_mean,interface_sub_ElectronAffinity_mean,interface_sub_Electronegativity_mean,interface_sub_FirstIonizationEnergy_mean,interface_sub_GSvolume_pa_mean,interface_sub_MendeleevNumber_mean,interface_sub_MiracleRadius_mean,interface_sub_MolarVolume_mean,interface_sub_NUnfilled_mean,interface_sub_NValence_mean,interface_sub_NdUnfilled_mean,interface_sub_NdValence_mean,interface_sub_NfUnfilled_mean,interface_sub_NfValence_mean,interface_sub_NpUnfilled_mean,interface_sub_NpValence_mean,interface_sub_NsUnfilled_mean,interface_sub_NsValence_mean,interface_sub_Polarizability_mean,interface_sub_VdWRadius_mean,interface_sub_ZungerPP-r_d_mean,interface_sub_ZungerPP-r_p_mean,uninterface_sub_AllenElectronegativity_mean,uninterface_sub_AtomicRadius_mean,uninterface_sub_AtomicVolume_mean,uninterface_sub_AtomicWeight_mean,uninterface_sub_CovalentRadius_mean,uninterface_sub_DipolePolarizability_mean,uninterface_sub_ElectronAffinity_mean,uninterface_sub_Electronegativity_mean,uninterface_sub_FirstIonizationEnergy_mean,uninterface_sub_GSvolume_pa_mean,uninterface_sub_MendeleevNumber_mean,uninterface_sub_MiracleRadius_mean,uninterface_sub_MolarVolume_mean,uninterface_sub_NUnfilled_mean,uninterface_sub_NValence_mean,uninterface_sub_NdUnfilled_mean,uninterface_sub_NdValence_mean,uninterface_sub_NfUnfilled_mean,uninterface_sub_NfValence_mean,uninterface_sub_NpUnfilled_mean,uninterface_sub_NpValence_mean,uninterface_sub_NsUnfilled_mean,uninterface_sub_NsValence_mean,uninterface_sub_Polarizability_mean,uninterface_sub_VdWRadius_mean,uninterface_sub_ZungerPP-r_d_mean,uninterface_sub_ZungerPP-r_p_mean,,delta,misfit,vdw_height,vdw_width,bandgap,workfunction,charge,dipole,SBH_n,SBH_p,if_id,Note,spg,gap_pbe,gap_hse,ea_pbe,ea_hse,ip_pbe,ip_hse,ads_MetalUnpair,ads_NonMetalUnpair,ads_MetalMendeleev,ads_NonMetalMendeleev,interface_sub_Unpair,uninterface_sub_Unpair
c2db-34,Ag2Br2,Ag,2.2775,1.375,29.80173664,93.8861,132.5,5.02,225.1,2.445,9.695015,22.905,80,,15.025,1,14,0,10,0,0,0.5,2.5,0.5,1.5,5.02,1.785,0.264,0.975,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.162122788,0.006086722,1.688738458,0.678727722,1.8412,4.39839947,0.22799,0.492942374,2.1,0.09,if_0,1,P-3m1,1.723804268,2.962377034,4.512844884,4.267670457,6.236649152,7.23004749,1,1,65,95,1,1
c2db-105,Ag2Ca2Br6,Ag,2.1918,1.37,37.51926225,77.53164,136.2,8.374666666,220.354,2.362,9.826158,28.508,71.4,,19.162,0.8,12.8,0,8,0,0,0.6,3,0.2,1.8,8.374666667,1.916,0.2308,0.974,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.130508236,0.021823709,1.964361214,0.965205767,3.197,4.39839947,0.267621,0.570168745,1.27,2.21,if_1,1,P-31m,3.108974859,4.386987379,3.650187725,3.366426733,6.759162584,7.753414113,0.5,1,36,95,1,1
c2db-106,Ag2Ca2Cl6,Ag,2.3022,1.28,11002.50679,50.86104,125.4,7.852666666,234.994,2.482,10.518456,25.5185,70.8,,17.728,0.8,6.8,0,2,0,0,0.6,3,0.2,1.8,7.852666667,1.856,,0.908,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.088297149,0.042663155,1.945092598,0.952965222,3.587,4.39839947,0.3756,0.784364409,1.29,2.34,if_2,1,P-31m,3.47160472,4.977593596,3.532435221,3.212112153,7.004039941,8.18970575,0.5,1,36,94,1,1
c2db-108,Ag2Cd2Br6,Ag,2.289,1.32,33.24782988,91.99824,129.8,4.692,219.88,2.5,10.40229,24.853,84,,16.522,0.8,14.8,0,10,0,0,0.6,3,0.2,1.8,4.692,1.77,0.2368,0.884,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.141271892,0.035827286,1.98896427,0.926518194,2.3112,4.39839947,0.304159,0.651287118,0.83,2.09,if_3,1,P-31m,2.239622451,3.456190736,4.23231248,3.961463512,6.471934931,7.417654247,0.5,1,67.5,95,1,1
c2db-112,Ag2Cd2Cl6,Ag,2.3994,1.23,10998.23536,65.32764,119,4.17,234.52,2.62,11.094588,21.8635,83.4,,15.088,0.8,8.8,0,4,0,0,0.6,3,0.2,1.8,4.17,1.71,,0.818,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.064008099,0.010000853,1.806808017,0.898714495,2.6919,4.39839947,0.797797,1.646659469,1.68,1.94,if_4,1,P-31m,2.610786325,4.055697705,4.187207336,3.872762819,6.79799366,7.928460524,0.5,1,67.5,94,1,1
c2db-236,Ag2I2,Ag,2.1145,1.5,29.86725271,117.386335,142,6.0075,210.4,2.295,9.013745,29.6725,80.5,,17.995,1,14,0,10,0,0,0.5,2.5,0.5,1.5,6.0075,1.85,0.35,1.08,2.359,1.4,42.65885747,126.90447,139,5.025,295.2,2.66,10.45126,43.015,96,,25.72,1,17,0,10,0,0,1,5,0,2,5.025,1.98,0.315,0.83,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.906798012,0.010367593,2.550224922,1.102982253,2.0855,4.39839947,0.058505,0.170062218,-0.44,1.71,if_5,1,P-3m1,1.768472401,2.781849582,3.646476195,3.375206183,5.414948596,6.157055765,1,1,65,96,1,1
c2db-283,Ag2Mg2Cl6,Ag,2.354,1.22,10998.56381,47.70644,118.4,4.859333334,234.52,2.544,10.825071,22.5425,83,,15.288,0.8,6.8,0,2,0,0,0.6,3,0.2,1.8,4.859333333,1.74,,0.798,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,1.988178021,0.04244831,1.532869311,0.764821184,3.5081,4.39839947,0.70809,1.407808975,2.89,0.87,if_6,1,P-31m,3.395810205,4.903227086,3.474834881,3.142827058,6.870645085,8.046054144,0.5,1,66.5,94,1,1
c2db-309,Ag2Pb2Cl6,Ag,,1.28,10999.98764,84.28544,119.4,4.105,241.54,2.748,10.77915,23.5865,85.6,,16.14,1.6,12,0,4,0,2.8,1.4,3.4,0.2,1.8,4.105,1.798,,0.798,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.055628483,0.02190315,1.84951441,0.936998097,3.0203,4.39839947,0.320022,0.657846338,1.19,1.99,if_7,1,P-31m,2.43890818,3.708228469,4.344726094,4.025251642,6.783634274,7.733480111,1.5,1,73,94,1,1
c2db-345,Ag2Sn2Br6,Ag,2.3498,1.3,34.32518184,93.25804,128.8,4.64,241.34,2.554,10.07231,27.611,86,,17.18,1.6,15.2,0,10,0,0,1.4,3.4,0.2,1.8,4.64,1.888,0.2318,0.838,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.096447478,0.012264912,1.860526359,0.932482075,2.2683,4.39839947,0.249987,0.524084616,1.21,1.62,if_8,1,P-31m,2.207336881,3.09547554,4.004928945,3.73944436,6.212265827,6.8349199,1.5,1,72.5,95,1,1
c2db-494,AgAlP2S6,Ag,2.3523,1.085,25.30975909,38.91872626,111,3.845,151.21,2.34,9.6695438,23.26717262,83.2,110.7,14.749,2.4,6,0,1,0,0,2.3,3.1,0.1,1.9,3.845,1.796,,0.6875,2.589,1,27.16654579,32.065,105,2.9,200,2.58,10.36001,25.786875,88,103,15.53,2,6,0,0,0,0,2,4,0,2,2.9,1.8,,0.56,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,1.87,1.6,17.07564795,107.8682,145,6.99,125.6,1.93,7.57623,16.33,65,144,10.27,1,11,0,10,0,0,0,0,1,1,6.99,1.72,0.385,1.33,,2.805428162,0.017007708,2.308313596,1.036744791,2.0159,4.39839947,0.090457,0.253770615,0.1,1.98,if_9,1,P312,1.93324543,3.132079988,3.958048019,3.556108139,5.891293449,6.688188127,1,2.25,69,86.75,1,1
